Data	Hora	TemperaturaCelsius	Umidade
24/08/2020	11:52:15	-1,20	7,10%
24/08/2020	11:52:16	-1,20	7,00%
24/08/2020	11:52:17	-1,20	7,00%
24/08/2020	11:52:18	-1,20	7,00%
24/08/2020	11:52:19	-0,40	8,00%
24/08/2020	11:52:20	-1,20	7,00%
24/08/2020	11:52:21	-4,80	3,30%
24/08/2020	11:52:22	-6,60	1,40%
24/08/2020	11:52:23	-2,10	6,20%
24/08/2020	11:52:24	0,60	9,20%
24/08/2020	11:52:25	1,50	10,00%
24/08/2020	11:52:26	1,50	10,00%
24/08/2020	11:52:27	-2,40	5,80%
24/08/2020	11:52:28	-4,30	3,80%
24/08/2020	11:52:29	-4,40	3,70%
24/08/2020	11:52:30	-0,60	7,70%
24/08/2020	11:52:31	1,50	10,00%
24/08/2020	11:52:32	1,50	10,00%
24/08/2020	11:52:33	1,50	10,00%
24/08/2020	11:52:34	-3,30	4,80%
24/08/2020	11:52:35	-8,00	0,00%
24/08/2020	11:52:36	-8,00	0,00%
24/08/2020	11:52:37	-7,40	0,50%
24/08/2020	11:52:38	-2,80	5,30%
08/09/2020	09:39:39	19,00	49,00%
08/09/2020	09:39:40	18,00	48,00%
08/09/2020	09:39:41	18,00	48,00%
08/09/2020	09:39:42	18,00	48,00%
08/09/2020	09:39:44	20,00	50,00%
08/09/2020	09:39:45	45,00	70,00%
08/09/2020	09:39:46	30,00	57,00%
08/09/2020	09:39:47	3,00	36,00%
08/09/2020	09:39:48	-7,00	26,00%
08/09/2020	09:39:49	-8,00	25,00%
08/09/2020	09:39:50	-21,00	16,00%
08/09/2020	09:39:51	-23,00	14,00%
08/09/2020	09:39:52	-33,00	6,00%
08/09/2020	09:39:53	-39,00	0,00%
08/09/2020	09:39:54	-31,00	6,00%
08/09/2020	09:39:55	55,00	79,00%
08/09/2020	09:39:56	64,00	88,00%
08/09/2020	09:39:57	73,00	95,00%
08/09/2020	09:39:58	71,00	93,00%
08/09/2020	09:39:59	58,00	82,00%
08/09/2020	09:40:00	67,00	88,00%
08/09/2020	09:40:01	78,00	99,00%
08/09/2020	09:40:02	80,00	100,00%
08/09/2020	09:40:03	80,00	100,00%
08/09/2020	09:40:04	53,00	78,00%
08/09/2020	09:40:05	38,00	64,00%
08/09/2020	09:40:06	33,00	61,00%
08/09/2020	09:40:07	28,00	55,00%
08/09/2020	09:40:08	28,00	58,00%
08/09/2020	09:40:09	7,00	39,00%
08/09/2020	09:40:10	-19,00	17,00%
08/09/2020	09:40:11	-40,00	0,00%
08/09/2020	09:40:12	-15,00	21,00%
08/09/2020	09:40:13	46,00	71,00%
08/09/2020	09:40:14	69,00	91,00%
08/09/2020	09:40:15	80,00	100,00%
08/09/2020	09:40:16	76,00	97,00%
08/09/2020	09:40:17	32,00	59,00%
08/09/2020	09:40:18	0,00	32,00%
08/09/2020	09:40:19	-16,00	19,00%
08/09/2020	09:40:20	-7,00	28,00%
08/09/2020	09:40:21	28,00	57,00%
08/09/2020	09:40:22	3,00	36,00%
08/09/2020	09:40:23	-15,00	19,00%
08/09/2020	09:40:24	-35,00	5,00%
08/09/2020	09:40:25	-33,00	6,00%
08/09/2020	09:40:26	11,00	43,00%
08/09/2020	17:37:30	23,00	52,00%
08/09/2020	17:37:31	23,00	52,00%
08/09/2020	17:37:32	23,00	52,00%
08/09/2020	17:37:33	23,00	52,00%
08/09/2020	17:37:34	23,00	53,00%
08/09/2020	17:37:35	29,00	58,00%
08/09/2020	17:37:36	80,00	100,00%
08/09/2020	17:37:37	80,00	100,00%
08/09/2020	17:37:38	43,00	69,00%
08/09/2020	17:37:39	2,00	35,00%
08/09/2020	17:37:40	-34,00	5,00%
08/09/2020	17:37:41	-40,00	0,00%
08/09/2020	17:37:42	-40,00	0,00%
08/09/2020	17:37:43	-37,00	1,00%
08/09/2020	17:37:44	26,00	54,00%
08/09/2020	17:37:45	80,00	100,00%
08/09/2020	17:37:46	67,00	89,00%
08/09/2020	17:37:47	24,00	53,00%
08/09/2020	17:37:48	-5,00	29,00%
08/09/2020	17:37:49	33,00	61,00%
08/09/2020	17:37:50	71,00	93,00%
08/09/2020	17:37:51	77,00	97,00%
08/09/2020	17:37:52	37,00	64,00%
08/09/2020	17:37:53	20,00	50,00%
08/09/2020	17:37:54	20,00	50,00%
08/09/2020	17:37:55	21,00	51,00%
08/09/2020	17:37:56	30,00	58,00%
08/09/2020	17:37:57	62,00	85,00%
08/09/2020	17:37:58	80,00	100,00%
08/09/2020	17:37:59	80,00	100,00%
08/09/2020	18:03:37	0,00	0,00%
08/09/2020	18:03:38	80,00	100,00%
08/09/2020	18:03:39	80,00	100,00%
08/09/2020	18:03:40	80,00	100,00%
08/09/2020	18:03:41	80,00	100,00%
08/09/2020	18:03:42	41,00	67,00%
08/09/2020	18:03:43	-8,00	26,00%
08/09/2020	18:03:44	-40,00	0,00%
08/09/2020	18:03:45	30,00	58,00%
08/09/2020	18:03:46	30,00	58,00%
08/09/2020	18:07:52	0,00	0,00%
08/09/2020	18:07:53	-10,00	24,00%
08/09/2020	18:07:54	-30,00	7,00%
08/09/2020	18:07:55	-9,00	25,00%
08/09/2020	18:07:56	8,00	40,00%
08/09/2020	18:07:57	-24,00	12,00%
08/09/2020	18:07:58	-40,00	0,00%
08/09/2020	18:07:59	-18,00	18,00%
08/09/2020	18:08:00	23,00	52,00%
08/09/2020	18:08:01	55,00	79,00%
08/09/2020	18:08:02	80,00	100,00%
08/09/2020	18:08:03	39,00	66,00%
08/09/2020	18:08:04	63,00	86,00%
09/09/2020	13:25:56	46,00	71,00%
09/09/2020	13:25:57	46,00	72,00%
09/09/2020	13:25:58	46,00	72,00%
09/09/2020	13:25:59	45,00	71,00%
09/09/2020	13:26:00	76,00	97,00%
09/09/2020	13:26:01	77,00	98,00%
09/09/2020	13:26:02	57,00	80,00%
09/09/2020	13:26:03	34,00	62,00%
09/09/2020	13:26:04	28,00	55,00%
09/09/2020	13:26:05	26,00	56,00%
09/09/2020	13:26:06	29,00	57,00%
09/09/2020	13:26:07	32,00	60,00%
09/09/2020	13:26:08	40,00	67,00%
09/09/2020	13:26:09	41,00	66,00%
09/09/2020	13:26:10	44,00	69,00%
09/09/2020	13:26:11	41,00	68,00%
09/09/2020	13:26:12	42,00	69,00%
09/09/2020	13:26:13	44,00	70,00%
09/09/2020	13:26:14	46,00	72,00%
09/09/2020	13:26:15	50,00	76,00%
09/09/2020	13:26:16	45,00	70,00%
09/09/2020	13:26:17	33,00	62,00%
09/09/2020	13:26:18	34,00	62,00%
09/09/2020	13:26:19	33,00	61,00%
09/09/2020	13:26:20	33,00	60,00%
09/09/2020	13:26:21	30,00	58,00%
09/09/2020	13:26:22	5,00	36,00%
09/09/2020	13:26:23	-12,00	24,00%
09/09/2020	13:26:24	-7,00	27,00%
09/09/2020	13:26:25	-3,00	31,00%
09/09/2020	13:26:26	-4,00	30,00%
09/09/2020	13:26:27	-5,00	29,00%
09/09/2020	13:26:28	-13,00	22,00%
09/09/2020	13:26:29	-28,00	10,00%
09/09/2020	13:26:30	-40,00	0,00%
09/09/2020	13:26:31	-40,00	0,00%
09/09/2020	13:26:32	0,00	32,00%
09/09/2020	13:26:33	22,00	53,00%
09/09/2020	13:26:34	15,00	46,00%
09/09/2020	13:26:35	-17,00	18,00%
09/09/2020	13:26:52	0,00	0,00%
09/09/2020	13:26:53	-15,00	20,00%
09/09/2020	13:26:54	-15,00	20,00%
09/09/2020	13:26:55	-15,00	20,00%
09/09/2020	13:26:56	-15,00	20,00%
09/09/2020	13:26:57	-15,00	20,00%
09/09/2020	13:26:58	-15,00	20,00%
09/09/2020	13:26:59	-14,00	20,00%
09/09/2020	13:27:00	-14,00	20,00%
09/09/2020	13:27:01	-15,00	20,00%
09/09/2020	13:27:02	-14,00	21,00%
09/09/2020	13:27:03	-14,00	20,00%
09/09/2020	13:27:04	-15,00	20,00%
09/09/2020	13:27:05	-15,00	20,00%
09/09/2020	13:27:06	-15,00	20,00%
09/09/2020	13:27:07	-15,00	20,00%
09/09/2020	13:27:08	-15,00	20,00%
09/09/2020	13:27:09	-15,00	20,00%
09/09/2020	13:27:10	-14,00	20,00%
09/09/2020	13:27:11	-15,00	20,00%
09/09/2020	13:28:05	0,00	0,00%
09/09/2020	13:28:06	54,00	80,00%
09/09/2020	13:28:07	43,00	69,00%
09/09/2020	13:28:08	-16,00	20,00%
09/09/2020	13:28:09	-40,00	0,00%
09/09/2020	13:28:10	-9,00	25,00%
09/09/2020	13:28:11	43,00	70,00%
09/09/2020	13:28:12	33,00	63,00%
09/09/2020	14:10:39	0,00	0,00%
09/09/2020	14:10:40	8,00	39,00%
09/09/2020	14:10:41	8,00	39,00%
09/09/2020	14:10:42	8,00	40,00%
09/09/2020	14:10:43	-27,00	10,00%
